Census year,Construction year,Number of floors (above ground),Predominant space use,x,y,Latitude,longitude
2017,1996,2,House/Townhouse,144.9239,-37.7891,-37.78907015,144.9239319
2017,1905,2,House/Townhouse,144.9313,-37.7941,-37.79407693,144.9312985
2017,1900,1,House/Townhouse,144.928,-37.7934,-37.79340212,144.9280019
2017,1900,1,House/Townhouse,144.9266,-37.7916,-37.79163703,144.9265513
2017,1970,2,Educational/Research,144.9856,-37.8348,-37.8348455,144.9855658
2017,1994,2,House/Townhouse,144.9342,-37.7913,-37.79131915,144.9342393
2017,1900,1,House/Townhouse,144.9315,-37.7932,-37.79315865,144.9314675
2017,1900,1,House/Townhouse,144.9413,-37.7906,-37.79064027,144.9413424
2017,1900,1,House/Townhouse,144.9283,-37.7932,-37.79319987,144.9282686
2017,1993,2,House/Townhouse,144.9256,-37.7886,-37.78861199,144.9255991
2017,1900,1,House/Townhouse,144.9266,-37.7916,-37.79160234,144.9266186
2017,1900,1,House/Townhouse,144.934,-37.7907,-37.79071487,144.9339674
2017,1872,2,Office,144.9679,-37.8065,-37.80647963,144.9678822
2017,1971,2,Office,144.9381,-37.7964,-37.7964401,144.9380977
2017,1895,1,House/Townhouse,144.9317,-37.7939,-37.79390461,144.9317175
2017,1900,2,House/Townhouse,144.9285,-37.7923,-37.79227109,144.9285209
2017,1900,1,House/Townhouse,144.9285,-37.7938,-37.7937617,144.9285029
2017,1900,2,House/Townhouse,144.9285,-37.7924,-37.7923608,144.9285277
2017,2010,2,House/Townhouse,144.9345,-37.7903,-37.79029324,144.93454
2017,1997,2,House/Townhouse,144.9277,-37.7891,-37.78905512,144.9277202
2017,1920,2,House/Townhouse,144.9313,-37.7942,-37.79415282,144.9312843
2017,1900,1,House/Townhouse,144.9414,-37.7906,-37.79059588,144.9414155
2017,1900,1,House/Townhouse,144.9328,-37.7908,-37.79076705,144.9327622
2017,1900,1,House/Townhouse,144.9323,-37.7937,-37.79374158,144.9322577
2017,1900,1,House/Townhouse,144.9275,-37.7917,-37.79165545,144.9274673
2017,,2,House/Townhouse,144.9708,-37.8,-37.79998402,144.9708289
2017,1856,2,House/Townhouse,144.9485,-37.8031,-37.80311046,144.9484732
2017,1900,1,House/Townhouse,144.9337,-37.7922,-37.7922397,144.9337026
2017,1900,1,House/Townhouse,144.9308,-37.7929,-37.79288636,144.9308262
2017,1900,1,House/Townhouse,144.9262,-37.7912,-37.79119601,144.926193
2017,1990,2,Office,144.9543,-37.8042,-37.80421464,144.9542642
2017,1900,1,House/Townhouse,144.933,-37.7895,-37.78948011,144.9330495
2017,1900,1,House/Townhouse,144.9339,-37.7893,-37.78925255,144.9339036
2017,2010,2,House/Townhouse,144.9202,-37.7935,-37.7934875,144.9202065
2017,1988,1,House/Townhouse,144.9413,-37.7901,-37.79012857,144.9413189
2017,,1,Unoccupied - Unused,144.9513,-37.8038,-37.80377512,144.9513073
2017,,1,House/Townhouse,144.9242,-37.7953,-37.79530256,144.9241674
2017,1900,1,House/Townhouse,144.9296,-37.7924,-37.79236207,144.9295626
2017,1891,3,Storage,144.9668,-37.8117,-37.81169501,144.9667987
2017,1900,1,House/Townhouse,144.9332,-37.7906,-37.79055212,144.9331518
2017,1900,2,House/Townhouse,144.9281,-37.7917,-37.7916973,144.9280559
2017,1905,1,House/Townhouse,144.9324,-37.7924,-37.79242564,144.9324491
2017,1995,2,House/Townhouse,144.9302,-37.79,-37.78999432,144.9301831
2017,1990,2,House/Townhouse,144.9249,-37.7899,-37.78992121,144.924929
2017,1900,1,House/Townhouse,144.929,-37.7914,-37.79141985,144.9289546
2017,,1,Workshop/Studio,144.949,-37.8012,-37.8012216,144.9490339
2017,1900,1,House/Townhouse,144.9425,-37.7906,-37.79055957,144.9425313
2017,1900,1,House/Townhouse,144.9289,-37.7909,-37.79089038,144.9288769
2017,1925,1,House/Townhouse,144.9336,-37.7906,-37.79063283,144.9336259
2017,1975,2,Office,144.9348,-37.7891,-37.78906269,144.9347902
2017,1900,1,House/Townhouse,144.929,-37.792,-37.7920096,144.9290413
2017,1900,1,House/Townhouse,144.9268,-37.7912,-37.79122792,144.9267614
2017,1989,2,House/Townhouse,144.9245,-37.7892,-37.78918738,144.9244712
2017,1986,2,Office,144.9594,-37.8028,-37.80283685,144.9593722
2017,1997,2,House/Townhouse,144.9237,-37.789,-37.78896143,144.9237272
2017,1900,1,House/Townhouse,144.9331,-37.7898,-37.78977329,144.9330803
2017,,2,House/Townhouse,144.9401,-37.7761,-37.7760731,144.9401362
2017,,13,Residential Apartment,144.9694,-37.7948,-37.79475022,144.9694177
2017,1895,1,House/Townhouse,144.9318,-37.7937,-37.79371548,144.9317527
2017,1900,2,House/Townhouse,144.9264,-37.7909,-37.79088334,144.9263643
2017,1901,2,Unoccupied - Under Renovation,144.9536,-37.8086,-37.80863066,144.9535537
2017,,2,Residential Apartment,144.9535,-37.803,-37.8029664,144.9534605
2017,1883,2,Residential Apartment,144.9498,-37.8037,-37.80373271,144.9498251
2017,2011,3,House/Townhouse,144.9378,-37.8163,-37.81626576,144.9377724
2017,1998,1,Storage,144.9428,-37.805,-37.80500606,144.9428093
2017,2008,1,House/Townhouse,144.9208,-37.7932,-37.79323327,144.920806
2017,1972,3,Office,144.9528,-37.8086,-37.80859746,144.9527901
2017,,1,House/Townhouse,144.9263,-37.7994,-37.7993602,144.9263391
2017,1999,3,House/Townhouse,144.9176,-37.7949,-37.79488073,144.9175635
2017,,1,House/Townhouse,144.9732,-37.7942,-37.79424199,144.973181
2017,,1,House/Townhouse,144.9868,-37.8315,-37.8314605,144.9868309
2017,2007,2,House/Townhouse,144.9176,-37.7934,-37.79341173,144.9175554
2017,,1,House/Townhouse,144.9653,-37.7951,-37.79513735,144.9652593
2017,,3,House/Townhouse,144.9523,-37.8081,-37.80805297,144.952313
2017,,1,House/Townhouse,144.9302,-37.7984,-37.79836209,144.9302019
2017,1950,2,Residential Apartment,144.9826,-37.8352,-37.83523562,144.9825947
2017,1896,2,Entertainment/Recreation - Indoor,144.9643,-37.8054,-37.80543838,144.9642776
2017,,2,House/Townhouse,144.9388,-37.7776,-37.77760828,144.9387861
2017,1900,1,House/Townhouse,144.9318,-37.7932,-37.79324471,144.9318398
2017,2004,4,Residential Apartment,144.9445,-37.8085,-37.80854809,144.9445337
2017,,2,House/Townhouse,144.9825,-37.8355,-37.83552007,144.9825348
2017,,2,House/Townhouse,144.9213,-37.7975,-37.79752522,144.9212711
2017,,1,House/Townhouse,144.9233,-37.794,-37.79403119,144.9232703
2017,1888,2,Entertainment/Recreation - Indoor,144.9299,-37.7936,-37.79360993,144.9299271
2017,1870,1,House/Townhouse,144.9809,-37.8356,-37.83558586,144.9808659
2017,1887,5,Office,144.9694,-37.8149,-37.81492093,144.9693859
2017,,2,House/Townhouse,144.9171,-37.7948,-37.79481876,144.9171161
2017,1880,2,Entertainment/Recreation - Indoor,144.9691,-37.7986,-37.79855535,144.9691033
2017,,2,House/Townhouse,144.922,-37.796,-37.79599409,144.9220068
2017,1965,21,Residential Apartment,144.9407,-37.7952,-37.79524783,144.940668
2017,,2,House/Townhouse,144.9547,-37.7949,-37.79489942,144.9547403
2017,1910,2,House/Townhouse,144.9679,-37.8063,-37.80634803,144.9679206
2017,,1,House/Townhouse,144.9558,-37.7961,-37.79606113,144.9558224
2017,1994,1,Entertainment/Recreation - Indoor,144.9578,-37.8282,-37.82823635,144.9578065
2017,1970,1,Unoccupied - Unused,144.9482,-37.8042,-37.80420813,144.9482059
2017,1894,4,Residential Apartment,144.9654,-37.8119,-37.81186417,144.9654375
2017,1872,2,Entertainment/Recreation - Indoor,144.9605,-37.8091,-37.80911593,144.9604889
2017,2010,2,House/Townhouse,144.9347,-37.7903,-37.79028893,144.9346803
2017,1960,1,Storage,144.9469,-37.8016,-37.80159014,144.9468773
2017,,3,House/Townhouse,144.971,-37.7979,-37.79793572,144.9709741
2017,1861,2,Retail - Shop,144.9666,-37.812,-37.81198497,144.966602
2017,,2,House/Townhouse,144.9729,-37.8007,-37.80069399,144.972884
2017,1900,2,House/Townhouse,144.9318,-37.7933,-37.79331851,144.9318264
2017,1985,1,Transport,144.9564,-37.8123,-37.81225853,144.9563569
2017,,3,Residential Apartment,144.9488,-37.8018,-37.80183555,144.9487643
2017,,1,House/Townhouse,144.9498,-37.8004,-37.80038658,144.9498182
2017,1980,2,Office,144.968,-37.8069,-37.8068836,144.9679733
2017,,3,House/Townhouse,144.9646,-37.8039,-37.80392543,144.9646177
2017,,1,House/Townhouse,144.9318,-37.7958,-37.79582288,144.9317691
2017,,2,House/Townhouse,144.921,-37.7908,-37.79075638,144.9209946
2017,,3,House/Townhouse,144.9884,-37.8191,-37.81913088,144.9883922
2017,1940,2,Residential Apartment,144.9843,-37.8363,-37.83631152,144.9842783
2017,2002,2,House/Townhouse,144.9535,-37.8134,-37.81337653,144.9535262
2017,,2,House/Townhouse,144.9793,-37.8345,-37.83448987,144.979285
2017,1854,2,Entertainment/Recreation - Indoor,144.9613,-37.8117,-37.81168407,144.9612899
2017,1870,2,Entertainment/Recreation - Indoor,144.9672,-37.8016,-37.80158017,144.9672471
2017,,2,House/Townhouse,144.9422,-37.7778,-37.77779853,144.9422343
2017,1985,1,Storage,144.9143,-37.8029,-37.80290876,144.9142578
2017,1887,2,Entertainment/Recreation - Indoor,144.95,-37.8055,-37.8054675,144.9499613
2017,,2,Residential Apartment,144.9525,-37.8083,-37.8082611,144.9525375
2017,,2,House/Townhouse,144.9664,-37.798,-37.79800612,144.9664195
2017,1872,1,Office,144.9574,-37.8121,-37.81209006,144.9573598
2017,,3,Residential Apartment,144.9901,-37.8115,-37.81149913,144.9900604
2017,,1,House/Townhouse,144.9452,-37.7951,-37.79506808,144.9452388
2017,,2,House/Townhouse,144.9533,-37.7952,-37.79524842,144.9533321
2017,1900,1,House/Townhouse,144.9468,-37.8089,-37.80892224,144.9468079
2017,1999,2,House/Townhouse,144.9188,-37.7926,-37.79263754,144.9188307
2017,1900,1,House/Townhouse,144.9286,-37.7928,-37.79277553,144.9285632
2017,,4,Residential Apartment,144.9802,-37.8341,-37.83408723,144.9802106
2017,,2,House/Townhouse,144.9717,-37.7995,-37.799512,144.971661
2017,2003,3,House/Townhouse,144.917,-37.7934,-37.79343495,144.9169532
2017,1983,10,Commercial Accommodation,144.963,-37.8157,-37.81570121,144.9629953
2017,1982,7,Educational/Research,144.9707,-37.8299,-37.82987354,144.9706923
2017,1998,2,House/Townhouse,144.932,-37.7921,-37.79209124,144.9320216
2017,1927,10,Office,144.968,-37.8153,-37.81533971,144.9680284
2017,,2,House/Townhouse,144.981,-37.8178,-37.81778438,144.9809593
2017,2003,2,House/Townhouse,144.9174,-37.7932,-37.79315524,144.9174021
2017,2000,2,House/Townhouse,144.9303,-37.7905,-37.79045868,144.9303065
2017,,2,House/Townhouse,144.9235,-37.795,-37.79504383,144.9234696
2017,,1,House/Townhouse,144.9743,-37.7938,-37.79376627,144.9743212
2017,,2,House/Townhouse,144.9563,-37.7963,-37.7963212,144.9563408
2017,,1,House/Townhouse,144.9332,-37.7954,-37.79539331,144.9331603
2017,,1,House/Townhouse,144.9726,-37.7968,-37.7967815,144.9726254
2017,2002,2,House/Townhouse,144.9216,-37.796,-37.7959766,144.9215503
2017,,1,House/Townhouse,144.9305,-37.7985,-37.79850586,144.9305497
2017,,1,House/Townhouse,144.946,-37.8051,-37.80509425,144.9460268
