Census year,Property ID,Base property ID,Street address,CLUE small area,Construction year,Predominant space use,x coordinate,y coordinate
2014,557164,557164,46-52 MacKenzie Road,West Melbourne (Industrial),1970,Commercial,144.9074,-37.8133
2014,105661,105661,11-15 Lloyd Street,West Melbourne (Industrial),1970,Retail,144.932,-37.8018
2014,104096,104096,110-112 Franklin Street,Melbourne (CBD),1920,Public,144.9592,-37.8081
2014,105531,105531,14-16 Lennon Street,Parkville,1994,Residential,144.9412,-37.7864
2014,104574,104574,17 Haines Street,North Melbourne,,Residential,144.9494,-37.799
2014,612855,109449,26-28 McLennan Drive,Kensington,2007,Commercial,144.9301,-37.7996
2014,111228,111228,49 Matthews Mews,Kensington,,Residential,144.9206,-37.7949
2014,103942,103942,253-265 Flinders Lane,Melbourne (CBD),1900,Public,144.9659,-37.8171
2014,105317,105317,275 King Street,Melbourne (CBD),1873,Public,144.9543,-37.8138
2014,574498,574498,30 Lincoln Mews,Kensington,2002,Residential,144.9228,-37.7966
2014,108691,108691,15 Shands Lane,North Melbourne,,Residential,144.9436,-37.7955
2014,101735,101735,36 Carlton Street,Carlton,,Residential,144.973,-37.8009
2014,101374,101374,48 Canning Street,North Melbourne,,Residential,144.9422,-37.7956
2014,558656,558656,117 Leicester Street,Carlton,1999,Residential,144.9602,-37.8032
2014,100826,100826,6-12 Barrup Street,Carlton,,Residential,144.9739,-37.8003
2014,109857,109857,1-9 Villiers Street,North Melbourne,1930,Residential,144.9521,-37.7999
2014,624236,624236,3 Smyth Mews,North Melbourne,2010,Residential,144.9413,-37.7931
2014,109680,109680,31-33 Victoria Street,Melbourne (CBD),1874,Public,144.9664,-37.8074
2014,103282,103282,568-574 Elizabeth Street,Carlton,1920,Retail,144.9595,-37.8049
2014,102963,102963,76 Dudley Street,West Melbourne (Residential),1901,Commercial,144.9528,-37.8088
2014,108201,108201,409-411 Rathdowne Street,Carlton,1870,Residential,144.9703,-37.7967
2014,106151,106151,327 Lygon Street,Carlton,1874,Retail,144.9671,-37.7977
2014,587543,103756,Toorak Road,South Yarra,,Public,144.9815,-37.8413
